"target_id" "identifiers" "length" "eff_length" "est_counts" "tpm" "Entry.name" "Status" "Protein.names" "Gene.names" "Organism" "Length" "Gene.ontology..biological.process." "Gene.ontology..cellular.component." "Gene.ontology..GO." "Gene.ontology..molecular.function." "Gene.ontology.IDs"
"31188" "TRINITY_DN164_c3_g1_i1" "Q2F637" 2332 2149.52 35 239.596 "1433Z_BOMMO" "reviewed" "14-3-3 protein zeta" "14-3-3zeta" "Bombyx mori (Silk moth)" 247 "" "cytoplasm [GO:0005737]" "cytoplasm [GO:0005737]" "" "GO:0005737"
"14303" "TRINITY_DN3110_c0_g1_i1" "Q26065" 1603 1420.52 34.8832 361.345 "ACT_PLAMG" "reviewed" "Actin, adductor muscle" "" "Placopecten magellanicus (Sea scallop)" 376 "" "cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]" "cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]" "ATP binding [GO:0005524]" "GO:0005524; GO:0005737; GO:0005856"
"38778" "TRINITY_DN6463_c0_g1_i14" "P05214" 2174 1991.52 34.2721 253.226 "TBA3_MOUSE" "reviewed" "Tubulin alpha-3 chain (Alpha-tubulin 3/7) (Alpha-tubulin isotype M-alpha-3/7) (Tubulin alpha-3/alpha-7 chain) [Cleaved into: Detyrosinated tubulin alpha-3 chain]" "Tuba3a Tuba3; Tuba3b Tuba7" "Mus musculus (Mouse)" 450 "microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]" "ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]" "ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]" "GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]" "GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0005929; GO:0015630; GO:0036064"
"11460" "TRINITY_DN6730_c0_g3_i4" "Q9GKL8" 1593 1410.52 33.3864 348.292 "CATL1_CHLAE" "reviewed" "Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]" "CTSL CTSL1" "Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)" 333 "antigen processing and presentation of peptide antigen [GO:0048002]; CD4-positive, alpha-beta T cell lineage commitment [GO:0043373]; collagen catabolic process [GO:0030574]; elastin catabolic process [GO:0060309]; enkephalin processing [GO:0034230]; protein autoprocessing [GO:0016540]; viral entry into host cell [GO:0046718]; zymogen activation [GO:0031638]" "apical plasma membrane [GO:0016324]; chromaffin granule [GO:0042583]; extracellular space [GO:0005615]; lysosome [GO:0005764]" "apical plasma membrane [GO:0016324]; chromaffin granule [GO:0042583]; extracellular space [GO:0005615]; lysosome [GO:0005764]; cysteine-type endopeptidase activity [GO:0004197]; antigen processing and presentation of peptide antigen [GO:0048002]; CD4-positive, alpha-beta T cell lineage commitment [GO:0043373]; collagen catabolic process [GO:0030574]; elastin catabolic process [GO:0060309]; enkephalin processing [GO:0034230]; protein autoprocessing [GO:0016540]; viral entry into host cell [GO:0046718]; zymogen activation [GO:0031638]" "cysteine-type endopeptidase activity [GO:0004197]" "GO:0004197; GO:0005615; GO:0005764; GO:0016324; GO:0016540; GO:0030574; GO:0031638; GO:0034230; GO:0042583; GO:0043373; GO:0046718; GO:0048002; GO:0060309"
"21306" "TRINITY_DN10776_c0_g2_i1" "Q13887" 3796 3613.52 32.5962 132.736 "KLF5_HUMAN" "reviewed" "Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)" "KLF5 BTEB2 CKLF IKLF" "Homo sapiens (Human)" 457 "angiogenesis [GO:0001525]; cell-cell signaling via exosome [GO:0099156]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to organic cyclic compound [GO:0071407]; cellular response to peptide [GO:1901653]; intestinal epithelial cell development [GO:0060576]; microvillus assembly [GO:0030033]; myotube differentiation involved in skeletal muscle regeneration [GO:0014908]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by transcription factor localization [GO:0061586]; regulation of microvillus assembly [GO:0032534]; regulation of transcription by RNA polymerase II [GO:0006357]; satellite cell activation involved in skeletal muscle regeneration [GO:0014901]; skeletal muscle satellite cell differentiation [GO:0014816]" "chromatin [GO:0000785]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; transcription regulator complex [GO:0005667]" "chromatin [GO:0000785]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; transcription regulator complex [GO:0005667]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; MRF binding [GO:0043426]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; angiogenesis [GO:0001525]; cell-cell signaling via exosome [GO:0099156]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to organic cyclic compound [GO:0071407]; cellular response to peptide [GO:1901653]; intestinal epithelial cell development [GO:0060576]; microvillus assembly [GO:0030033]; myotube differentiation involved in skeletal muscle regeneration [GO:0014908]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by transcription factor localization [GO:0061586]; regulation of microvillus assembly [GO:0032534]; regulation of transcription by RNA polymerase II [GO:0006357]; satellite cell activation involved in skeletal muscle regeneration [GO:0014901]; skeletal muscle satellite cell differentiation [GO:0014816]" "DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; MRF binding [GO:0043426]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]" "GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001525; GO:0005654; GO:0005667; GO:0005794; GO:0006357; GO:0008284; GO:0014816; GO:0014901; GO:0014908; GO:0030033; GO:0032534; GO:0043231; GO:0043426; GO:0045600; GO:0045944; GO:0046872; GO:0060576; GO:0061586; GO:0071407; GO:0099156; GO:1901653; GO:1902895; GO:1990830; GO:1990837"
"33077" "TRINITY_DN27100_c0_g1_i3" "Q04832" 3347 3164.52 32.3614 150.478 "HEXP_LEIMA" "reviewed" "DNA-binding protein HEXBP (Hexamer-binding protein)" "HEXBP" "Leishmania major" 271 "" "nucleus [GO:0005634]" "nucleus [GO:0005634]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]" "DNA binding [GO:0003677]; zinc ion binding [GO:0008270]" "GO:0003677; GO:0005634; GO:0008270"
"45834" "TRINITY_DN20071_c1_g1_i6" "E2RR58" 728 545.716 32.1583 867.121 "RL12_CANLF" "reviewed" "60S ribosomal protein L12" "RPL12" "Canis lupus familiaris (Dog) (Canis familiaris)" 165 "translation [GO:0006412]" "cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]" "cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]" "large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]" "GO:0003735; GO:0006412; GO:0015934; GO:0022625; GO:0070180"
"46208" "TRINITY_DN18383_c0_g1_i2" "Q92519" 3303 3120.52 32 150.895 "TRIB2_HUMAN" "reviewed" "Tribbles homolog 2 (TRB-2)" "TRIB2 TRB2" "Homo sapiens (Human)" 343 "negative regulation of fat cell differentiation [GO:0045599]; negative regulation of interleukin-10 production [GO:0032693]; negative regulation of protein kinase activity [GO:0006469]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein phosphorylation [GO:0006468]; regulation of MAP kinase activity [GO:0043405]" "cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]" "cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]; mitogen-activated protein kinase kinase binding [GO:0031434]; protein kinase inhibitor activity [GO:0004860]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase regulator activity [GO:0055106]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of interleukin-10 production [GO:0032693]; negative regulation of protein kinase activity [GO:0006469]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein phosphorylation [GO:0006468]; regulation of MAP kinase activity [GO:0043405]" "mitogen-activated protein kinase kinase binding [GO:0031434]; protein kinase inhibitor activity [GO:0004860]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase regulator activity [GO:0055106]" "GO:0004860; GO:0005634; GO:0005737; GO:0005856; GO:0006468; GO:0006469; GO:0008134; GO:0031434; GO:0031625; GO:0032436; GO:0032693; GO:0043405; GO:0045599; GO:0055106"
"50422" "TRINITY_DN189292_c0_g1_i1" "P23396" 857 674.522 31.5059 687.304 "RS3_HUMAN" "reviewed" "40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)" "RPS3 OK/SW-cl.26" "Homo sapiens (Human)" 243 "apoptotic process [GO:0006915]; cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to reactive oxygen species [GO:0034614]; cellular response to tumor necrosis factor [GO:0071356]; chromosome segregation [GO:0007059]; cytoplasmic translation [GO:0002181]; DNA damage response, detection of DNA damage [GO:0042769]; DNA repair [GO:0006281]; negative regulation of DNA repair [GO:0045738]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of translation [GO:0017148]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of base-excision repair [GO:1905053]; positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:2001272]; positive regulation of DNA N-glycosylase activity [GO:1902546]; positive regulation of DNA repair [GO:0045739]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902231]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of T cell receptor signaling pathway [GO:0050862]; regulation of apoptotic process [GO:0042981]; response to TNF agonist [GO:0061481]; spindle assembly [GO:0051225]; translation [GO:0006412]; translational initiation [GO:0006413]" "cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitotic spindle [GO:0072686]; NF-kappaB complex [GO:0071159]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; polysome [GO:0005844]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; ruffle membrane [GO:0032587]" "cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitotic spindle [GO:0072686]; NF-kappaB complex [GO:0071159]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; polysome [GO:0005844]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; ruffle membrane [GO:0032587]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; DNA-binding transcription factor binding [GO:0140297]; endodeoxyribonuclease activity [GO:0004520]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; iron-sulfur cluster binding [GO:0051536]; kinase binding [GO:0019900]; microtubule binding [GO:0008017]; mRNA binding [GO:0003729]; oxidized purine DNA binding [GO:0032357]; oxidized pyrimidine DNA binding [GO:0032358]; protein kinase A binding [GO:0051018]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; supercoiled DNA binding [GO:0097100]; tubulin binding [GO:0015631]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]; apoptotic process [GO:0006915]; cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to reactive oxygen species [GO:0034614]; cellular response to tumor necrosis factor [GO:0071356]; chromosome segregation [GO:0007059]; cytoplasmic translation [GO:0002181]; DNA damage response, detection of DNA damage [GO:0042769]; DNA repair [GO:0006281]; negative regulation of DNA repair [GO:0045738]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of translation [GO:0017148]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of base-excision repair [GO:1905053]; positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:2001272]; positive regulation of DNA N-glycosylase activity [GO:1902546]; positive regulation of DNA repair [GO:0045739]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902231]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of T cell receptor signaling pathway [GO:0050862]; regulation of apoptotic process [GO:0042981]; response to TNF agonist [GO:0061481]; spindle assembly [GO:0051225]; translation [GO:0006412]; translational initiation [GO:0006413]" "class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; DNA binding [GO:0003677]; DNA-binding transcription factor binding [GO:0140297]; endodeoxyribonuclease activity [GO:0004520]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; iron-sulfur cluster binding [GO:0051536]; kinase binding [GO:0019900]; microtubule binding [GO:0008017]; mRNA binding [GO:0003729]; oxidized purine DNA binding [GO:0032357]; oxidized pyrimidine DNA binding [GO:0032358]; protein-containing complex binding [GO:0044877]; protein kinase A binding [GO:0051018]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; supercoiled DNA binding [GO:0097100]; tubulin binding [GO:0015631]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]" "GO:0002181; GO:0003677; GO:0003684; GO:0003723; GO:0003729; GO:0003735; GO:0003906; GO:0004520; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005743; GO:0005759; GO:0005783; GO:0005829; GO:0005840; GO:0005844; GO:0005886; GO:0005925; GO:0006281; GO:0006412; GO:0006413; GO:0006915; GO:0006974; GO:0007059; GO:0008017; GO:0010628; GO:0014069; GO:0015631; GO:0016020; GO:0017148; GO:0019899; GO:0019900; GO:0019901; GO:0022626; GO:0022627; GO:0030544; GO:0031116; GO:0031334; GO:0031397; GO:0032079; GO:0032357; GO:0032358; GO:0032587; GO:0032743; GO:0034614; GO:0042104; GO:0042769; GO:0042981; GO:0043507; GO:0044390; GO:0044877; GO:0045738; GO:0045739; GO:0050862; GO:0051018; GO:0051092; GO:0051225; GO:0051301; GO:0051536; GO:0051879; GO:0061481; GO:0070062; GO:0070181; GO:0070301; GO:0071159; GO:0071356; GO:0072686; GO:0097100; GO:0140078; GO:0140297; GO:1901224; GO:1902231; GO:1902546; GO:1905053; GO:1990904; GO:2001235; GO:2001272"
"56583" "TRINITY_DN210530_c1_g1_i1" "O77302" 693 510.716 31 893.172 "RS10_LUMRU" "reviewed" "40S ribosomal protein S10" "RPS10" "Lumbricus rubellus (Humus earthworm)" 156 "" "cytoplasm [GO:0005737]; ribosome [GO:0005840]" "cytoplasm [GO:0005737]; ribosome [GO:0005840]" "" "GO:0005737; GO:0005840"
"33078" "TRINITY_DN27100_c0_g1_i8" "Q04832" 3444 3261.52 30.7644 138.797 "HEXP_LEIMA" "reviewed" "DNA-binding protein HEXBP (Hexamer-binding protein)" "HEXBP" "Leishmania major" 271 "" "nucleus [GO:0005634]" "nucleus [GO:0005634]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]" "DNA binding [GO:0003677]; zinc ion binding [GO:0008270]" "GO:0003677; GO:0005634; GO:0008270"
"38035" "TRINITY_DN21150_c0_g1_i1" "Q25117" 2130 1947.52 30.6859 231.851 "ATPB_HEMPU" "reviewed" "ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)" "" "Hemicentrotus pulcherrimus (Sea urchin) (Strongylocentrotus pulcherrimus)" 523 "" "mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]" "mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]" "ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]" "GO:0005524; GO:0005743; GO:0045261; GO:0046933; GO:0046961"
"33181" "TRINITY_DN506_c0_g1_i1" "Q60865" 3853 3670.52 30 120.267 "CAPR1_MOUSE" "reviewed" "Caprin-1 (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)" "Caprin1 Gpiap Gpiap1 Gpip137 M11s1 Rng105 G5E5" "Mus musculus (Mouse)" 707 "negative regulation of translation [GO:0017148]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of dendritic spine morphogenesis [GO:0061003]" "cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; lamellipodium [GO:0030027]; P-body [GO:0000932]; postsynapse [GO:0098794]; synapse [GO:0045202]" "cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; lamellipodium [GO:0030027]; P-body [GO:0000932]; postsynapse [GO:0098794]; synapse [GO:0045202]; RNA binding [GO:0003723]; negative regulation of translation [GO:0017148]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of dendritic spine morphogenesis [GO:0061003]" "RNA binding [GO:0003723]" "GO:0000932; GO:0003723; GO:0005737; GO:0005829; GO:0010494; GO:0017148; GO:0030027; GO:0030425; GO:0031252; GO:0045202; GO:0050775; GO:0061003; GO:0098794; GO:0098978"
"18266" "TRINITY_DN8383_c3_g2_i1" "Q90705" 1799 1616.52 29.3364 267.041 "EF2_CHICK" "reviewed" "Elongation factor 2 (EF-2)" "EEF2" "Gallus gallus (Chicken)" 858 "translational elongation [GO:0006414]" "cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]" "cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; translational elongation [GO:0006414]" "GTPase activity [GO:0003924]; GTP binding [GO:0005525]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]" "GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006414; GO:0043022; GO:1990904"
"49573" "TRINITY_DN31326_c1_g2_i5" "P45842" 928 745.522 29.2777 577.87 "RL34_AEDAL" "reviewed" "60S ribosomal protein L34 (L31)" "RpL34 RpL31" "Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)" 130 "translation [GO:0006412]" "ribosome [GO:0005840]" "ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]" "structural constituent of ribosome [GO:0003735]" "GO:0003735; GO:0005840; GO:0006412"
"13086" "TRINITY_DN3983_c1_g1_i11" "P16275" 3581 3398.52 29.1617 126.263 "IFEB_HELPO" "reviewed" "Non-neuronal cytoplasmic intermediate filament protein B (IFB)" "" "Helix pomatia (Roman snail) (Edible snail)" 450 "" "cytoplasm [GO:0005737]; intermediate filament [GO:0005882]" "cytoplasm [GO:0005737]; intermediate filament [GO:0005882]" "" "GO:0005737; GO:0005882"
"6307" "TRINITY_DN4229_c0_g1_i1" "P81004" 2340 2157.52 29 197.786 "VDAC2_XENLA" "reviewed" "Voltage-dependent anion-selective channel protein 2 (VDAC-2) (Outer mitochondrial membrane protein porin)" "vdac2" "Xenopus laevis (African clawed frog)" 282 "" "mitochondrial outer membrane [GO:0005741]; pore complex [GO:0046930]" "mitochondrial outer membrane [GO:0005741]; pore complex [GO:0046930]; nucleotide binding [GO:0000166]; porin activity [GO:0015288]; voltage-gated anion channel activity [GO:0008308]" "nucleotide binding [GO:0000166]; porin activity [GO:0015288]; voltage-gated anion channel activity [GO:0008308]" "GO:0000166; GO:0005741; GO:0008308; GO:0015288; GO:0046930"
"27434" "TRINITY_DN10259_c3_g1_i1" "Q8ISN9" 481 300.146 29 1421.74 "RS25_BRABE" "reviewed" "40S ribosomal protein S25" "RPS25" "Branchiostoma belcheri (Amphioxus)" 123 "" "ribosome [GO:0005840]" "ribosome [GO:0005840]" "" "GO:0005840"
"27903" "TRINITY_DN34850_c0_g2_i1" "Q09JW2" 691 508.716 29 838.833 "RL17_ARGMO" "reviewed" "60S ribosomal protein L17" "RpL17" "Argas monolakensis (Mono lake bird tick)" 185 "translation [GO:0006412]" "large ribosomal subunit [GO:0015934]" "large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]" "structural constituent of ribosome [GO:0003735]" "GO:0003735; GO:0006412; GO:0015934"
"28352" "TRINITY_DN16865_c0_g2_i3" "P62750" 686 503.716 29 847.16 "RL23A_HUMAN" "reviewed" "60S ribosomal protein L23a (Large ribosomal subunit protein uL23)" "RPL23A" "Homo sapiens (Human)" 156 "cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]" "cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; nucleolus [GO:0005730]; nucleus [GO:0005634]" "cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; nucleolus [GO:0005730]; nucleus [GO:0005634]; cadherin binding [GO:0045296]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; TORC2 complex binding [GO:1904841]; cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]" "cadherin binding [GO:0045296]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; TORC2 complex binding [GO:1904841]" "GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0006412; GO:0019843; GO:0022625; GO:0022626; GO:0045296; GO:0070062; GO:1904841"
"1185" "TRINITY_DN33_c0_g1_i17" "P20397" 3613 3430.52 28.0037 120.118 "NUCL_XENLA" "reviewed" "Nucleolin (Protein C23)" "ncl" "Xenopus laevis (African clawed frog)" 651 "" "nucleolus [GO:0005730]" "nucleolus [GO:0005730]; DNA binding [GO:0003677]; RNA binding [GO:0003723]" "DNA binding [GO:0003677]; RNA binding [GO:0003723]" "GO:0003677; GO:0003723; GO:0005730"
"12804" "TRINITY_DN13427_c2_g2_i3" "Q06646" 1141 958.522 28 429.842 "AT5G2_RAT" "reviewed" "ATP synthase F(0) complex subunit C2, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase membrane subunit c locus 2) (ATP synthase proteolipid P2) (ATPase protein 9) (ATPase subunit c)" "Atp5mc2 Atp5g2" "Rattus norvegicus (Rat)" 141 "ATP synthesis coupled proton transport [GO:0015986]; pore complex assembly [GO:0046931]; response to 3,3',5-triiodo-L-thyronine [GO:1905242]; response to ethanol [GO:0045471]" "cation channel complex [GO:0034703]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]" "cation channel complex [GO:0034703]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; ligand-gated channel activity [GO:0022834]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]; pore complex assembly [GO:0046931]; response to 3,3',5-triiodo-L-thyronine [GO:1905242]; response to ethanol [GO:0045471]" "ligand-gated channel activity [GO:0022834]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]" "GO:0000276; GO:0008289; GO:0015078; GO:0015986; GO:0022834; GO:0034703; GO:0045263; GO:0045471; GO:0046931; GO:1905242"
