"","target_id","gene","ctenidia","gonad","heart","juvenile","larvae","accessions","gene_id","gene_name","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"108","PGEN_.00g052360","PGEN_.00g052360",0,0,0,0,3.028476,"Q5E9P3",281135,"S1PR1","Sphingosine 1-phosphate receptor 1","CD363","GO:0005737;GO:0005768;GO:0009897;GO:0016021;GO:0031226;GO:0045121;GO:0005654;GO:0005886;GO:0004930;GO:0001664;GO:0038036;GO:0031532;GO:0007189;GO:0007193;GO:0001525;GO:0001955;GO:0007420;GO:0003245;GO:0016477;GO:0006935;GO:0061384;GO:0030032;GO:0030595;GO:0008284;GO:0030500;GO:0045124;GO:0030155;GO:0019222;GO:0003376;GO:0072678","GO:0031532;GO:0007189;GO:0007193;GO:0001525;GO:0001955;GO:0007420;GO:0003245;GO:0016477;GO:0006935;GO:0061384;GO:0030032;GO:0030595;GO:0008284;GO:0030500;GO:0045124;GO:0030155;GO:0019222;GO:0003376;GO:0072678","GO:0005737;GO:0005768;GO:0009897;GO:0016021;GO:0031226;GO:0045121;GO:0005654;GO:0005886","GO:0004930;GO:0001664;GO:0038036","GO:0007010;GO:0023052;GO:0023052;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048870;GO:0048856;GO:0002376;GO:0048870;GO:0048856;GO:0007155;GO:0023052;GO:0002376;GO:0048870","cytoskeleton organization;signaling;signaling;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;cell motility;anatomical structure development;immune system process;cell motility;anatomical structure development;cell adhesion;signaling;immune system process;cell motility"
"109","PGEN_.00g052800","PGEN_.00g052800",0,0,0,0,1.049478,"P20420",NA,"Chrna5","Neuronal acetylcholine receptor subunit alpha-5","Polyubiquitinated substrate transporter","GO:0005892;GO:0030425;GO:0098691;GO:0005887;GO:0043005;GO:0043025;GO:0005886;GO:0045211;GO:0045202;GO:0042166;GO:0015464;GO:0022848;GO:0030594;GO:0044877;GO:0035095;GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:2000300;GO:0035094;GO:0007165;GO:0007271","GO:0035095;GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:2000300;GO:0035094;GO:0007165;GO:0007271","GO:0005892;GO:0030425;GO:0098691;GO:0005887;GO:0043005;GO:0043025;GO:0005886;GO:0045211;GO:0045202","GO:0042166;GO:0015464;GO:0022848;GO:0030594;GO:0044877","GO:0023052;GO:0055085;GO:0016192;GO:0023052;GO:0023052;GO:0023052","signaling;transmembrane transport;vesicle-mediated transport;signaling;signaling;signaling"
"110","PGEN_.00g052830","PGEN_.00g052830",0,0,0,0,0.398907,"P02709",338070,"CHRNA1","Acetylcholine receptor subunit alpha","Polyubiquitinated substrate transporter","GO:0005892;GO:0009986;GO:0005887;GO:0099060;GO:0031594;GO:0043005;GO:0045202;GO:0042166;GO:0015464;GO:0022848;GO:0030594;GO:0007268;GO:0034220;GO:0046716;GO:0050877;GO:0007528;GO:0007274;GO:0070050;GO:0019228;GO:0042391;GO:0007165;GO:0003009;GO:0048630","GO:0007268;GO:0034220;GO:0046716;GO:0050877;GO:0007528;GO:0007274;GO:0070050;GO:0019228;GO:0042391;GO:0007165;GO:0003009;GO:0048630","GO:0005892;GO:0009986;GO:0005887;GO:0099060;GO:0031594;GO:0043005;GO:0045202","GO:0042166;GO:0015464;GO:0022848;GO:0030594","GO:0023052;GO:0055085;GO:0034330;GO:0023052;GO:0023052;GO:0050877;GO:0023052;GO:0003012;GO:0050877;GO:0048856","signaling;transmembrane transport;cell junction organization;signaling;signaling;nervous system process;signaling;muscle system process;nervous system process;anatomical structure development"
"111","PGEN_.00g055570","PGEN_.00g055570",0,0,0,0,0.563049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","PGEN_.00g055580","PGEN_.00g055580",0,0,0,0,1.50628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","PGEN_.00g056990","PGEN_.00g056990",0,0,0,0,0.616907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","PGEN_.00g057000","PGEN_.00g057000",0,0,0,0,4.812755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","PGEN_.00g057250","PGEN_.00g057250",0,0,0,0,0.157994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","PGEN_.00g057370","PGEN_.00g057370",0,0,0,0,0.263308,"Q8N6F8",155368,"METTL27","Methyltransferase-like protein 27","Williams-Beuren syndrome chromosomal region 27 protein","GO:0008168","","","GO:0008168",NA,NA
"117","PGEN_.00g057430","PGEN_.00g057430",0,0,0,0,0.949988,"P43143",81721,"Chrna6","Neuronal acetylcholine receptor subunit alpha-6","Threonine deaminase","GO:0005892;GO:0098691;GO:0005887;GO:0099055;GO:0099056;GO:0016020;GO:0043005;GO:0032991;GO:0045202;GO:0022848;GO:0030594;GO:0004888;GO:0007268;GO:0034220;GO:0051899;GO:0050877;GO:0014059;GO:0042391;GO:2000300;GO:0007165","GO:0007268;GO:0034220;GO:0051899;GO:0050877;GO:0014059;GO:0042391;GO:2000300;GO:0007165","GO:0005892;GO:0098691;GO:0005887;GO:0099055;GO:0099056;GO:0016020;GO:0043005;GO:0032991;GO:0045202","GO:0022848;GO:0030594;GO:0004888","GO:0023052;GO:0055085;GO:0023052;GO:0016192;GO:0023052;GO:0023052","signaling;transmembrane transport;signaling;vesicle-mediated transport;signaling;signaling"
"118","PGEN_.00g057940","PGEN_.00g057940",0,0,0,0,2.534897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","PGEN_.00g058070","PGEN_.00g058070",0,0,0,0,0.840856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","PGEN_.00g058120","PGEN_.00g058120",0,0,0,0,0.086179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","PGEN_.00g058520","PGEN_.00g058520",0,0,0,0,0.052135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","PGEN_.00g058700","PGEN_.00g058700",0,0,0,0,0.657234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","PGEN_.00g058840","PGEN_.00g058840",0,0,0,0,0.115634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","PGEN_.00g058960","PGEN_.00g058960",0,0,0,0,0.045345,"Q2KI97;A5D964",NA,"GPR84","G-protein coupled receptor 84","TGF-beta-activated kinase 1-binding protein 2","GO:0005887;GO:0008528;GO:0001604;GO:0007218","GO:0007218","GO:0005887","GO:0008528;GO:0001604","GO:0023052","signaling"
"125","PGEN_.00g059920","PGEN_.00g059920",0,0,0,0,52.770151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","PGEN_.00g060120","PGEN_.00g060120",0,0,0,0,0.167808,"H1AFJ5",NA,"scnn1a","Amiloride-sensitive sodium channel subunit alpha","SCNEA","GO:0001669;GO:0016324;GO:0005737;GO:0031514;GO:0034706;GO:0015280;GO:0035725","GO:0035725","GO:0001669;GO:0016324;GO:0005737;GO:0031514;GO:0034706","GO:0015280","GO:0055085","transmembrane transport"
"127","PGEN_.00g060940","PGEN_.00g060940",0,0,0,0,125.381737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","PGEN_.00g061130","PGEN_.00g061130",0,0,0,0,0.066937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","PGEN_.00g061350","PGEN_.00g061350",0,0,0,0,878.625152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","PGEN_.00g061680","PGEN_.00g061680",0,0,0,0,2.134516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","PGEN_.00g061800","PGEN_.00g061800",0,0,0,0,0.31128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","PGEN_.00g061830","PGEN_.00g061830",0,0,0,0,0.187387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","PGEN_.00g061860","PGEN_.00g061860",0,0,0,0,6.627131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","PGEN_.00g062020","PGEN_.00g062020",0,0,0,0,0.511952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","PGEN_.00g062430","PGEN_.00g062430",0,0,0,0,2.730786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","PGEN_.00g063010","PGEN_.00g063010",0,0,0,0,0.31077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","PGEN_.00g063360","PGEN_.00g063360",0,0,0,0,0.995563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","PGEN_.00g063430","PGEN_.00g063430",0,0,0,0,0.609284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","PGEN_.00g063870","PGEN_.00g063870",0,0,0,0,1160.195553,"Q7Z0T3",100533318,"","Temptin","Deoxy-5'-nucleotidase 2","GO:0005576;GO:0005186","","GO:0005576","GO:0005186",NA,NA
"140","PGEN_.00g064060","PGEN_.00g064060",0,0,0,0,0.173934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","PGEN_.00g065170","PGEN_.00g065170",0,0,0,0,0.584243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","PGEN_.00g065490","PGEN_.00g065490",0,0,0,0,1.126098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","PGEN_.00g065540","PGEN_.00g065540",0,0,0,0,1.015473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","PGEN_.00g065640","PGEN_.00g065640",0,0,0,0,5.95133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","PGEN_.00g065820","PGEN_.00g065820",0,0,0,0,0.598159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","PGEN_.00g065990","PGEN_.00g065990",0,0,0,0,0.082169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","PGEN_.00g066390","PGEN_.00g066390",0,0,0,0,0.108538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","PGEN_.00g066480","PGEN_.00g066480",0,0,0,0,1.153308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","PGEN_.00g066650","PGEN_.00g066650",0,0,0,0,1.968102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","PGEN_.00g066690","PGEN_.00g066690",0,0,0,0,0.524788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","PGEN_.00g067370","PGEN_.00g067370",0,0,0,0,0.347471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","PGEN_.00g067410","PGEN_.00g067410",0,0,0,0,9.963251,"P02717",NA,"CHRND","Acetylcholine receptor subunit delta","Multiple exostoses protein 2 homolog","GO:0005887;GO:0043005;GO:0045211;GO:0045202;GO:0022848;GO:0030594;GO:0004888;GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:0007165","GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:0007165","GO:0005887;GO:0043005;GO:0045211;GO:0045202","GO:0022848;GO:0030594;GO:0004888","GO:0023052;GO:0055085;GO:0023052","signaling;transmembrane transport;signaling"
"153","PGEN_.00g067700","PGEN_.00g067700",0,0,0,0,1.308354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","PGEN_.00g067710","PGEN_.00g067710",0,0,0,0,0.519031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","PGEN_.00g067910","PGEN_.00g067910",0,0,0,0,0.081746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","PGEN_.00g068250","PGEN_.00g068250",0,0,0,0,1.377963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","PGEN_.00g068450","PGEN_.00g068450",0,0,0,0,0.131871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","PGEN_.00g069240","PGEN_.00g069240",0,0,0,0,2.011274,"Q28199;Q0II69;Q28865;Q29462",282173,"CDK5R1","Cyclin-dependent kinase 5 activator 1 p25","Tau protein kinase II 23 kDa subunit","GO:0030424;GO:0043292;GO:0000307;GO:0005737;GO:0030425;GO:0043197;GO:0030426;GO:0016020;GO:0031594;GO:0043005;GO:0043025;GO:0005654;GO:0005634;GO:0043204;GO:0048471;GO:0005886;GO:0014069;GO:0016533;GO:0051015;GO:0043014;GO:0048487;GO:0045296;GO:0005509;GO:0061575;GO:0035255;GO:0016301;GO:0002020;GO:0019901;GO:0043539;GO:0007411;GO:0007413;GO:0007420;GO:0021549;GO:0009792;GO:0048013;GO:0007213;GO:0070315;GO:0021766;GO:0035235;GO:0021819;GO:0030517;GO:0045892;GO:0007158;GO:0030182;GO:0001764;GO:0031175;GO:0018107;GO:0031116;GO:0043525;GO:0090314;GO:0032956;GO:0061001;GO:0048511;GO:0042501;GO:0021722","GO:0007411;GO:0007413;GO:0007420;GO:0021549;GO:0009792;GO:0048013;GO:0007213;GO:0070315;GO:0021766;GO:0035235;GO:0021819;GO:0030517;GO:0045892;GO:0007158;GO:0030182;GO:0001764;GO:0031175;GO:0018107;GO:0031116;GO:0043525;GO:0090314;GO:0032956;GO:0061001;GO:0048511;GO:0042501;GO:0021722","GO:0030424;GO:0043292;GO:0000307;GO:0005737;GO:0030425;GO:0043197;GO:0030426;GO:0016020;GO:0031594;GO:0043005;GO:0043025;GO:0005654;GO:0005634;GO:0043204;GO:0048471;GO:0005886;GO:0014069;GO:0016533","GO:0051015;GO:0043014;GO:0048487;GO:0045296;GO:0005509;GO:0061575;GO:0035255;GO:0016301;GO:0002020;GO:0019901;GO:0043539","GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0023052;GO:0023052;GO:0030154;GO:0048856;GO:0023052;GO:0030154;GO:0048856;GO:0048870;GO:0030154;GO:0048856;GO:0006351;GO:0006355;GO:0007155;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0048870;GO:0030154;GO:0048856;GO:0007010;GO:0065003;GO:0012501;GO:0006886;GO:0007010;GO:0030154;GO:0034330;GO:0048856;GO:0023052;GO:0048856","cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;signaling;signaling;cell differentiation;anatomical structure development;signaling;cell differentiation;anatomical structure development;cell motility;cell differentiation;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;cell adhesion;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;cell motility;cell differentiation;anatomical structure development;cytoskeleton organization;protein-containing complex assembly;programmed cell death;intracellular protein transport;cytoskeleton organization;cell differentiation;cell junction organization;anatomical structure development;signaling;anatomical structure development"
"159","PGEN_.00g069390","PGEN_.00g069390",0,0,0,0,1.076379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","PGEN_.00g069450","PGEN_.00g069450",0,0,0,0,0.021515,"Q7Z5P9;G3CIG0;Q8NA85",283463,"MUC19","Mucin-19","Multifunctional enzyme 1","GO:0005576;GO:0005796;GO:0005886","","GO:0005576;GO:0005796;GO:0005886","",NA,NA
"161","PGEN_.00g070650","PGEN_.00g070650",0,0,0,0,2.36203,"A8WGA3",100003690,"lrfn1l","Leucine-rich repeat and fibronectin type III domain-containing protein 1-like protein","Thioredoxin-dependent peroxiredoxin 4","GO:0009986;GO:0099059","","GO:0009986;GO:0099059","",NA,NA
"162","PGEN_.00g071190","PGEN_.00g071190",0,0,0,0,3.747203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","PGEN_.00g072000","PGEN_.00g072000",0,0,0,0,4.908149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","PGEN_.00g072230","PGEN_.00g072230",0,0,0,0,34.92521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","PGEN_.00g072240","PGEN_.00g072240",0,0,0,0,306.570877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","PGEN_.00g072260","PGEN_.00g072260",0,0,0,0,1.039127,"O15973",NA,"SCOP1","Rhodopsin GQ-coupled","GQ-rhodopsin","GO:0016021;GO:0005886;GO:0004930;GO:0009881;GO:0007602;GO:0018298;GO:0007601","GO:0007602;GO:0018298;GO:0007601","GO:0016021;GO:0005886","GO:0004930;GO:0009881","GO:0023052;GO:0050877","signaling;nervous system process"
"167","PGEN_.00g072850","PGEN_.00g072850",0,0,0,0,0.55494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","PGEN_.00g072930","PGEN_.00g072930",0,0,0,0,1.388553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","PGEN_.00g073000","PGEN_.00g073000",0,0,0,0,0.146912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","PGEN_.00g073430","PGEN_.00g073430",0,0,0,0,0.821199,"Q8MSU3;Q9V7I1",36768,"","Putative ferric-chelate reductase 1 homolog","EGF-like fibronectin type-III and laminin G-like domain-containing protein","GO:0016021;GO:0046872;GO:0016722;GO:0140571;GO:0006879","GO:0006879","GO:0016021","GO:0046872;GO:0016722;GO:0140571",NA,NA
"171","PGEN_.00g074530","PGEN_.00g074530",0,0,0,0,0.797843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","PGEN_.00g075370","PGEN_.00g075370",0,0,0,0,2.112411,"Q08BN9",564277,"nxpe3","NXPE family member 3","Protein FAM55C","GO:0005576","","GO:0005576","",NA,NA
"173","PGEN_.00g075400","PGEN_.00g075400",0,0,0,0,1.238245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","PGEN_.00g075550","PGEN_.00g075550",0,0,0,0,0.812214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","PGEN_.00g075560","PGEN_.00g075560",0,0,0,0,1.859107,"H1AFJ5",NA,"scnn1a","Amiloride-sensitive sodium channel subunit alpha","SCNEA","GO:0001669;GO:0016324;GO:0005737;GO:0031514;GO:0034706;GO:0015280;GO:0035725","GO:0035725","GO:0001669;GO:0016324;GO:0005737;GO:0031514;GO:0034706","GO:0015280","GO:0055085","transmembrane transport"
"176","PGEN_.00g075820","PGEN_.00g075820",0,0,0,0,3.570798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","PGEN_.00g076350","PGEN_.00g076350",0,0,0,0,4.434818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","PGEN_.00g076590","PGEN_.00g076590",0,0,0,0,2.197363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","PGEN_.00g076930","PGEN_.00g076930",0,0,0,0,0.852544,"P70057;B1N659",373746,"kcnq1","Potassium voltage-gated channel subfamily KQT member 1","Voltage-gated potassium channel subunit Kv7.1","GO:0016323;GO:0005737;GO:0030659;GO:0005783;GO:0034702;GO:0045121;GO:0005886;GO:0008076;GO:0005516;GO:0005251;GO:0015271;GO:0005546;GO:0005249;GO:0048839;GO:0050892;GO:0086009;GO:0060453;GO:0034765;GO:0070293","GO:0048839;GO:0050892;GO:0086009;GO:0060453;GO:0034765;GO:0070293","GO:0016323;GO:0005737;GO:0030659;GO:0005783;GO:0034702;GO:0045121;GO:0005886;GO:0008076","GO:0005516;GO:0005251;GO:0015271;GO:0005546;GO:0005249","GO:0048856;GO:0022600;GO:0022600;GO:0055085;GO:0003014","anatomical structure development;digestive system process;digestive system process;transmembrane transport;renal system process"
"180","PGEN_.00g076960","PGEN_.00g076960",0,0,0,0,5.962725,"Q9QZS6;Q5NCR0",54710,"Hs3st3b1","Heparan sulfate glucosamine 3-O-sulfotransferase 3B1","Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 3B1","GO:0000139;GO:0005887;GO:0008467;GO:0033872;GO:0006477","GO:0006477","GO:0000139;GO:0005887","GO:0008467;GO:0033872","GO:0006790","sulfur compound metabolic process"
"181","PGEN_.00g076970","PGEN_.00g076970",0,0,0,0,6.157804,"Q96QI5;Q96RX7",64711,"HS3ST6","Heparan sulfate glucosamine 3-O-sulfotransferase 6","Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 6","GO:0000139;GO:0016021;GO:0008467;GO:0001835;GO:0006024","GO:0001835;GO:0006024","GO:0000139;GO:0016021","GO:0008467","GO:0048856;GO:1901135","anatomical structure development;carbohydrate derivative metabolic process"
"182","PGEN_.00g077710","PGEN_.00g077710",0,0,0,0,0.105593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","PGEN_.00g077740","PGEN_.00g077740",0,0,0,0,2.178287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","PGEN_.00g077990","PGEN_.00g077990",0,0,0,0,0.077368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","PGEN_.00g078200","PGEN_.00g078200",0,0,0,0,2.109671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","PGEN_.00g078230","PGEN_.00g078230",0,0,0,0,2.987203,"C0JB26",NA,"","Dermonecrotic toxin LlSicTox-alphaIV2ii","Sphingomyelin phosphodiesterase D","GO:0005576;GO:0016829;GO:0046872;GO:0008081;GO:0090729;GO:0044179;GO:0016042","GO:0044179;GO:0016042","GO:0005576","GO:0016829;GO:0046872;GO:0008081;GO:0090729","GO:0006629","lipid metabolic process"
"187","PGEN_.00g078570","PGEN_.00g078570",0,0,0,0,0.174872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","PGEN_.00g078760","PGEN_.00g078760",0,0,0,0,3.291969,"P02717",NA,"CHRND","Acetylcholine receptor subunit delta","Multiple exostoses protein 2 homolog","GO:0005887;GO:0043005;GO:0045211;GO:0045202;GO:0022848;GO:0030594;GO:0004888;GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:0007165","GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:0007165","GO:0005887;GO:0043005;GO:0045211;GO:0045202","GO:0022848;GO:0030594;GO:0004888","GO:0023052;GO:0055085;GO:0023052","signaling;transmembrane transport;signaling"
"189","PGEN_.00g078810","PGEN_.00g078810",0,0,0,0,1.415802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","PGEN_.00g079630","PGEN_.00g079630",0,0,0,0,21.331878,"Q5VUY0;B3KXR9;Q5VUY1",126767,"AADACL3","Arylacetamide deacetylase-like 3","eIF-2B GDP-GTP exchange factor subunit epsilon","GO:0016021;GO:0052689;GO:0016787","","GO:0016021","GO:0052689;GO:0016787",NA,NA
"191","PGEN_.00g079640","PGEN_.00g079640",0,0,0,0,7.850124,"Q99PG0;Q8VCF2",67758,"Aadac","Arylacetamide deacetylase","eIF-2B GDP-GTP exchange factor subunit epsilon","GO:0005789;GO:0016021;GO:0019213;GO:0016787;GO:0016298;GO:0017171;GO:0004806;GO:0006629;GO:0010898","GO:0006629;GO:0010898","GO:0005789;GO:0016021","GO:0019213;GO:0016787;GO:0016298;GO:0017171;GO:0004806","GO:0006629","lipid metabolic process"
"192","PGEN_.00g079970","PGEN_.00g079970",0,0,0,0,0.177828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","PGEN_.00g080260","PGEN_.00g080260",0,0,0,0,0.058765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","PGEN_.00g080310","PGEN_.00g080310",0,0,0,0,0.386945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","PGEN_.00g080330","PGEN_.00g080330",0,0,0,0,97.5652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","PGEN_.00g081130","PGEN_.00g081130",0,0,0,0,3.9263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","PGEN_.00g081540","PGEN_.00g081540",0,0,0,0,0.169752,"O43301",259217,"HSPA12A","Heat shock 70 kDa protein 12A","SHINC-3","GO:0005737;GO:0070062;GO:0005634;GO:0005524","","GO:0005737;GO:0070062;GO:0005634","GO:0005524",NA,NA
"198","PGEN_.00g081660","PGEN_.00g081660",0,0,0,0,0.346901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","PGEN_.00g081670","PGEN_.00g081670",0,0,0,0,2.414835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","PGEN_.00g081810","PGEN_.00g081810",0,0,0,0,0.505391,"P10986;Q7YSY2",180767,"act-4","Actin-4","Protein-lysine acetyltransferase CREBBP","GO:0005856;GO:0045121;GO:0005865;GO:0005524;GO:0005200;GO:0030036;GO:0000281","GO:0030036;GO:0000281","GO:0005856;GO:0045121;GO:0005865","GO:0005524;GO:0005200","GO:0007010;GO:0000278;GO:0000910","cytoskeleton organization;mitotic cell cycle;cytokinesis"
"201","PGEN_.00g082030","PGEN_.00g082030",0,0,0,0,0.506776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","PGEN_.00g082890","PGEN_.00g082890",0,0,0,0,2.533881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","PGEN_.00g083140","PGEN_.00g083140",0,0,0,0,5.877621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","PGEN_.00g083500","PGEN_.00g083500",0,0,0,0,0.902631,"Q91DM0",921337,"","Reverse transcriptase","Pancreatic thread protein 2","GO:0004190;GO:0003677;GO:0003887;GO:0004519;GO:0003964;GO:0008270;GO:0046740","GO:0046740","","GO:0004190;GO:0003677;GO:0003887;GO:0004519;GO:0003964;GO:0008270",NA,NA
"205","PGEN_.00g084100","PGEN_.00g084100",0,0,0,0,1.143152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","PGEN_.00g084320","PGEN_.00g084320",0,0,0,0,0.573996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","PGEN_.00g085170","PGEN_.00g085170",0,0,0,0,258.974055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","PGEN_.00g085200","PGEN_.00g085200",0,0,0,0,99.717821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","PGEN_.00g085210","PGEN_.00g085210",0,0,0,0,803.094497,"O46162",NA,"","Protease inhibitor SGPI-2","Schistocerca gregaria chymotrypsin inhibitor","GO:0005576;GO:0004867","","GO:0005576","GO:0004867",NA,NA
"210","PGEN_.00g085590","PGEN_.00g085590",0,0,0,0,89.037176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","PGEN_.00g085890","PGEN_.00g085890",0,0,0,0,5.109991,"P33587;O35498;Q91WN8;Q99PC6",19123,"Proc","Activation peptide","Blood coagulation factor XIV","GO:0005783;GO:0005615;GO:0005794;GO:0005509;GO:0070012;GO:0008233;GO:0043621;GO:0004252;GO:0007596;GO:0001889;GO:0043066;GO:0030195;GO:0050819;GO:0050728;GO:1903142;GO:0006508;GO:0044537","GO:0007596;GO:0001889;GO:0043066;GO:0030195;GO:0050819;GO:0050728;GO:1903142;GO:0006508;GO:0044537","GO:0005783;GO:0005615;GO:0005794","GO:0005509;GO:0070012;GO:0008233;GO:0043621;GO:0004252","GO:0042060;GO:0048856;GO:0012501;GO:0042060;GO:0006954;GO:0030154;GO:0048856","wound healing;anatomical structure development;programmed cell death;wound healing;inflammatory response;cell differentiation;anatomical structure development"
"212","PGEN_.00g086730","PGEN_.00g086730",0,0,0,0,0.124924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","PGEN_.00g086880","PGEN_.00g086880",0,0,0,0,0.190633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
